"Lower" "Upper"
"GCGS0870" 2000 2001
"GCGS0248" 2004 2005
"SRR9877774" 2018.41643835616 2018.41643835616
"SRR16644397" 2019.58082191781 2019.66301369863
"SRR8071121" 2014 2015
"GCGS0377" 2012 2013
"SRR11698465" 2019.32876712329 2019.41369863014
"SRR16644502" 2019.32876712329 2019.41369863014
"SRR11724367" 2019.74794520548 2019.8301369863
"SRR16644139" 2019.49589041096 2019.58082191781
"SRR9985910" 2017 2018
"SRR16644050" 2019.16164383562 2019.24657534247
"SRR16644440" 2019.66301369863 2019.74794520548
"SRR11904288" 2018.75068493151 2018.75068493151
"SRR11904408" 2018.58356164384 2018.58356164384
"SRR16999411" 2019.91506849315 2019.99726027397
"SRR5198489" 2016 2017
"GCGS0423" 2012 2013
"SRR16644560" 2019 2019.08493150685
"SRR8071312" 2014 2015
"SRR11904100" 2018.16438356164 2018.16438356164
"SRR11904118" 2018.16438356164 2018.16438356164
"SRR11904764" 2018.83287671233 2018.83287671233
"SRR8833368" 2018.00273972603 2018.00273972603
"SRR16644344" 2019.16164383562 2019.24657534247
"SRR11698739" 2019.16164383562 2019.24657534247
"GCGS1028" 2007 2008
"SRR16644279" 2019.58082191781 2019.66301369863
"GCGS0255" 2001 2002
"SRR11904464" 2018.49863013699 2018.49863013699
"SRR16644010" 2019.16164383562 2019.24657534247
"SRR16644492" 2019.32876712329 2019.41369863014
"SRR16644237" 2019.24657534247 2019.32876712329
"SRR16999501" 2019.8301369863 2019.91506849315
"SRR16999699" 2019.91506849315 2019.99726027397
"SRR8071029" 2015 2016
"SRR8071028" 2015 2016
"GCGS0453" 2012 2013
"SRR9877696" 2018.41643835616 2018.41643835616
"SRR11724196" 2019.74794520548 2019.8301369863
"SRR5989364" 2017 2018
"SRR11903954" 2018.41643835616 2018.41643835616
"SRR11698605" 2019.08493150685 2019.16164383562
"SRR11724362" 2019.74794520548 2019.8301369863
"SRR8172101" 2018.08767123288 2018.08767123288
"SRR8833522" 2018.24931506849 2018.24931506849
"SRR16999530" 2019.66301369863 2019.74794520548
"SRR16644074" 2019.08493150685 2019.16164383562
"SRR11904615" 2018.41643835616 2018.41643835616
"SRR11904618" 2018.41643835616 2018.41643835616
"SRR16644531" 2019.49589041096 2019.58082191781
"SRR16999404" 2019.08493150685 2019.16164383562
"SRR11904898" 2018.83287671233 2018.83287671233
"SRR9985746" 2017 2018
"SRR16644120" 2019.32876712329 2019.41369863014
"SRR16644122" 2019.32876712329 2019.41369863014
"SRR16644147" 2019.49589041096 2019.58082191781
"SRR16999477" 2019.8301369863 2019.91506849315
"SRR16644537" 2019.58082191781 2019.66301369863
"SRR16644685" 2019.16164383562 2019.24657534247
"SRR11724259" 2019.49589041096 2019.58082191781
"SRR16644287" 2019.49589041096 2019.58082191781
"SRR16999653" 2019.91506849315 2019.99726027397
"SRR11698882" 2019.24657534247 2019.32876712329
"SRR16644579" 2019.41369863014 2019.49589041096
"SRR16643996" 2019.16164383562 2019.24657534247
"SRR16644012" 2019.16164383562 2019.24657534247
"SRR16644098" 2019.41369863014 2019.49589041096
"SRR16644198" 2019 2019.08493150685
"SRR11904102" 2018.16438356164 2018.16438356164
"SRR11904813" 2018.91780821918 2018.91780821918
"SRR11904158" 2018.08767123288 2018.08767123288
"SRR11904354" 2018.66575342466 2018.66575342466
"SRR16643929" 2019.08493150685 2019.16164383562
"SRR16644222" 2019 2019.08493150685
"SRR16999480" 2019.8301369863 2019.91506849315
"SRR9985765" 2017 2018
"SRR11904429" 2018.58356164384 2018.58356164384
"SRR8071017" 2014 2015
"SRR11904011" 2018.33150684932 2018.33150684932
"SRR11904390" 2018.58356164384 2018.58356164384
"GCGS0373" 2013 2014
"SRR8071398" 2016 2017
"SRR8833373" 2018.24931506849 2018.24931506849
"SRR9877856" 2018.75068493151 2018.75068493151
"SRR8071078" 2015 2016
"SRR9985688" 2017 2018
"SRR9985915" 2017 2018
"SRR8903173" 2018.41643835616 2018.41643835616
"SRR16644180" 2019.32876712329 2019.41369863014
"SRR11904154" 2018.91780821918 2018.91780821918
"SRR8833485" 2018.16438356164 2018.16438356164
"SRR8833448" 2018.24931506849 2018.24931506849
"SRR11904337" 2018.66575342466 2018.66575342466
"SRR8833475" 2018.24931506849 2018.24931506849
"SRR11903860" 2018.49863013699 2018.49863013699
"SRR16644660" 2019.49589041096 2019.58082191781
"SRR16644633" 2019.66301369863 2019.74794520548
"SRR11904389" 2018.58356164384 2018.58356164384
"SRR16644488" 2019.41369863014 2019.49589041096
"SRR11904222" 2018.75068493151 2018.75068493151
"SRR11904403" 2018.58356164384 2018.58356164384
"SRR9985690" 2017 2018
"SRR16999522" 2019.8301369863 2019.91506849315
"SRR16644654" 2019 2019.08493150685
"SRR9878190" 2018.75068493151 2018.75068493151
"SRR11699143" 2019.24657534247 2019.32876712329
"SRR16643985" 2019.49589041096 2019.58082191781
"SRR16644671" 2019.32876712329 2019.41369863014
"SRR11904619" 2018.41643835616 2018.41643835616
"SRR16644378" 2019.41369863014 2019.49589041096
"SRR16644002" 2019.16164383562 2019.24657534247
"SRR11903874" 2018.00273972603 2018.00273972603
"SRR11904705" 2018.83287671233 2018.83287671233
"SRR16644244" 2019.24657534247 2019.32876712329
"SRR16644062" 2019.08493150685 2019.16164383562
"SRR16644406" 2019.58082191781 2019.66301369863
"SRR16999441" 2019.91506849315 2019.99726027397
"SRR11904470" 2018.49863013699 2018.49863013699
"SRR11904359" 2018.66575342466 2018.66575342466
"SRR11904367" 2018.66575342466 2018.66575342466
"SRR13670004" 2018.75068493151 2018.75068493151
"SRR8071002" 2015 2016
"SRR11904810" 2018.91780821918 2018.91780821918
"GCGS0257" 2005 2006
"GCGS0454" 2012 2013
"GCGS0353" 2011 2012
"SRR9985689" 2017 2018
"SRR9877738" 2018.83287671233 2018.83287671233
"SRR11903902" 2018.58356164384 2018.58356164384
"SRR8171844" 2018.00273972603 2018.00273972603
"SRR16644082" 2019.08493150685 2019.16164383562
"SRR16999617" 2019.66301369863 2019.74794520548
"SRR9985682" 2017 2018
